r	P	Q	rho
0.00010366072306285332	-7.469685340626062e-09	5.941357263878167e-10	5.614919634933426e-17
0.00010695126763668912	-8.193595969033073e-09	6.517112741243312e-10	6.755974248857578e-17
0.00011034626530782614	-8.987642856555683e-09	7.148645146445935e-10	8.128875539129445e-17
0.00011384903177349655	-9.858618512117488e-09	7.841355629301838e-10	9.780722754851747e-17
0.00011746298798246096	-1.0813972930580632e-08	8.601168056146425e-10	1.1768181146263138e-16
0.0001211916634760504	-1.186187713755788e-08	9.434579517972132e-10	1.4159424213332771e-16
0.00012503869983526478	-1.301129307145813e-08	1.0348715873642963e-09	1.7036470659370824e-16
0.00012900785423729358	-1.427204993433248e-08	1.135139242781791e-09	2.0497995042858297e-16
0.00013310300312493282	-1.5654928093135485e-08	1.2451180619966727e-09	2.46627092589553e-16
0.00013732814599248192	-1.717175105487117e-08	1.3657481114930542e-09	2.9673430219451604e-16
0.00014168740929181755	-1.883548631516797e-08	1.4980603950974227e-09	3.570197296762393e-16
0.00014618505046245982	-2.0660355949089623e-08	1.6431856423595447e-09	4.295503669983395e-16
0.00015082546208956658	-2.2661957879619368e-08	1.802363945257917e-09	5.16812850728808e-16
0.00015561317619391618	-2.485739885343969e-08	1.9769553248227694e-09	6.217986301153299e-16
0.0001605528686580693	-2.7265440252568285e-08	2.1684513173097725e-09	7.481064132819134e-16
0.00016564936379303232	-2.990665797862503e-08	2.378487678095512e-09	9.000653950853085e-16
0.00017090763904988162	-3.2803617765484924e-08	2.6088583109140885e-09	1.0828834801904637e-15
0.00017633282988095155	-3.5981067406362926e-08	2.8615305403852975e-09	1.3028255687347903e-15
0.00018193023475533257	-3.94661475241422e-08	3.1386618571075794e-09	1.5674279986506176e-15
0.0001877053203335785	-4.328862267019812e-08	3.4426182769941556e-09	1.885756473283885e-15
0.0001936637268066769	-4.748113470838182e-08	3.775994470121775e-09	2.2687162874338913e-15
0.0001998112734044961	-5.207948062863495e-08	4.14163582925096e-09	2.7294254498904985e-15
0.0002061539640790897	-5.7122917140471816e-08	4.542662664487936e-09	3.2836634467205415e-15
0.0002126979933684076	-6.265449462199663e-08	4.982496728426545e-09	3.9504109699865855e-15
0.0002194497524461424	-6.872142324708741e-08	5.464890295681055e-09	4.752499039049154e-15
0.0002264158353636175	-7.537547438392312e-08	5.993958042159526e-09	5.71738967161262e-15
0.00023360304548981456	-8.267342065439294e-08	6.574211992908934e-09	6.878114746025912e-15
0.0002410184021558292	-9.067751836855552e-08	7.210599833081201e-09	8.274405087432554e-15
0.00024866914751024423	-9.945603640389169e-08	7.908546904734771e-09	9.95404829131662e-15
