r	P	Q	rho
0.00010366072306285332	-1.9257485773608068e-07	-1.5276886168991771e-06	2.3709175860353923e-12
0.00010695126763668912	-2.049089868202953e-07	-1.623179979806274e-06	2.676700939723616e-12
0.00011034626530782614	-2.1804206965769101e-07	-1.724635546084038e-06	3.021910110957197e-12
0.00011384903177349655	-2.320267007890168e-07	-1.8324273773417207e-06	3.411626483110493e-12
0.00011746298798246096	-2.469190149755307e-07	-1.9469507019019198e-06	3.851586035592865e-12
0.0001211916634760504	-2.6277893258560985e-07	-2.0686253526310387e-06	4.348263616958722e-12
0.00012503869983526478	-2.7967042266109557e-07	-2.1978972955277725e-06	4.9089680669997316e-12
0.00012900785423729358	-2.976617847973868e-07	-2.3352402500021995e-06	5.541949563359101e-12
0.00013310300312493282	-3.168259516499059e-07	-2.481157410928284e-06	6.2565207814432145e-12
0.00013732814599248192	-3.372408131348693e-07	-2.636183276677143e-06	7.0631936342761056e-12
0.00014168740929181755	-3.589895643509878e-07	-2.800885589850132e-06	7.973833594743035e-12
0.00014618505046245982	-3.821610788062912e-07	-2.9758673977315967e-06	9.001833859036213e-12
0.00015082546208956658	-4.0685030896880476e-07	-3.161769239740951e-06	1.0162311899280082e-11
0.00015561317619391618	-4.331587161964187e-07	-3.35927146965208e-06	1.1472331280235377e-11
0.0001605528686580693	-4.611947323038874e-07	-3.5690967208101326e-06	1.2951151983602496e-11
0.00016564936379303232	-4.910742551960927e-07	-3.792012523069393e-06	1.46205128992315e-11
0.00017090763904988162	-5.229211811935039e-07	-4.028834080701411e-06	1.6504950611561994e-11
0.00017633282988095155	-5.568679768865091e-07	-4.280427221077566e-06	1.863215913862349e-11
0.00018193023475533257	-5.930562935841996e-07	-4.547711524518028e-06	2.1033395877593913e-11
0.0001877053203335785	-6.316376276711267e-07	-4.83166364632113e-06	2.3743939683871206e-11
0.0001936637268066769	-6.727740304543408e-07	-5.13332084264547e-06	2.6803607769592177e-11
0.0001998112734044961	-7.166388713743866e-07	-5.453784712613595e-06	3.02573389635025e-11
0.0002061539640790897	-7.634176587698802e-07	-5.794225169743045e-06	3.4155851839405506e-11
0.0002126979933684076	-8.133089227279147e-07	-6.155884656590001e-06	3.855638730902903e-11
0.0002194497524461424	-8.665251649241792e-07	-6.5400826173151846e-06	4.3523546502755116e-11
0.0002264158353636175	-9.232938807598222e-07	-6.948220243753429e-06	4.913023614595349e-11
0.00023360304548981456	-9.83858659539516e-07	-7.381785511489973e-06	5.545873519959417e-11
