r	P	Q	rho
0.00010366072306285332	9.773475656880802e-12	1.1688239356978234e-10	1.375701475301714e-20
0.00010695126763668912	1.0737304835417786e-11	1.2821115995054612e-10	1.6553391250993206e-20
0.00011034626530782614	1.1796709391687993e-11	1.406376915541804e-10	1.9918122638160724e-20
0.00011384903177349655	1.29612347905914e-11	1.542683270563698e-10	2.3966710340067913e-20
0.00011746298798246096	1.4241388583122883e-11	1.6921970130232755e-10	2.8838124457624456e-20
0.0001211916634760504	1.5648738445942165e-11	1.856197408155601e-10	3.4699571195385216e-20
0.00012503869983526478	1.7196020528817486e-11	2.0360875862965544e-10	4.175222971273681e-20
0.00012900785423729358	1.8897258774566107e-11	2.2334065054160646e-10	5.0238152573540894e-20
0.00013310300312493282	2.0767896769467223e-11	2.4498420972047453e-10	6.04485685485927e-20
0.00013732814599248192	2.28249432571876e-11	2.6872456790141406e-10	7.273387142849553e-20
0.00014168740929181755	2.5087132791395677e-11	2.9476477570741204e-10	8.751563722953405e-20
0.00014618505046245982	2.7575103132853653e-11	3.2332753573235794e-10	1.0530108167554671e-19
0.00015082546208956658	3.0311591169046027e-11	3.546571030662968e-10	1.2670045331457727e-19
0.00015561317619391618	3.3321649323850363e-11	3.890213694235855e-10	1.5244795818186345e-19
0.0001605528686580693	3.663288464085963e-11	4.2671414858946877e-10	1.8342693284354575e-19
0.00016564936379303232	4.027572296030028e-11	4.680576826014918e-10	2.2070012810225367e-19
0.00017090763904988162	4.4283700873461114e-11	5.134053899525349e-10	2.6554614059536455e-19
0.00017633282988095155	4.86937884316063e-11	5.631448791507616e-10	3.1950323994554793e-19
0.00018193023475533257	5.354674591216161e-11	6.177012532167791e-10	3.8442209222336103e-19
0.0001877053203335785	5.888751830723116e-11	6.775407331587941e-10	4.625291849017407e-19
0.0001936637268066769	6.476567160239437e-11	7.431746311629449e-10	5.565031246222884e-19
0.0001998112734044961	7.12358753619047e-11	8.151637071908577e-10	6.695664194597193e-19
0.0002061539640790897	7.835843663506594e-11	8.941229459144796e-10	8.05595887002679e-19
0.0002126979933684076	8.619989075351073e-11	9.807267944664012e-10	9.692554665502599e-19
0.0002194497524461424	9.483365520684232e-11	1.0757149053717478e-09	1.1661559797988387e-18
0.0002264158353636175	1.0434075347188471e-10	1.1798984332876838e-09	1.4030473057098115e-18
0.00023360304548981456	1.1481061643673547e-10	1.2941669388440607e-09	1.68804954324359e-18
0.0002410184021558292	1.263419699139976e-10	1.4194959579925295e-09	2.0309310681188787e-18
0.00024866914751024423	1.39043817688139e-10	1.556955300873998e-09	2.443442992156934e-18
0.0002565627535921164	1.5303653060123408e-10	1.7077181503520872e-09	2.9397214607404163e-18
0.00026470692962848283	1.6845305336208696e-10	1.87307103708409e-09	3.536771541150279e-18
0.000273109629563516	1.8544024208012878e-10	2.054424775366463e-09	4.255049241022278e-18
0.00028177905982667965	2.0416034699342856e-10	2.2533264520600088e-09	5.119161546837824e-18
0.000290723687347472	2.2479265649746522e-10	2.4714725697371758e-09	6.158708401378466e-18
0.00029995224782458456	2.47535320407902e-10	2.71072345487322e-09	7.409295383649247e-18
0.00030947375425755214	2.7260737242882047e-10	2.973119052504007e-09	8.913751679864871e-18
0.0003192975057492268	3.002509740726894e-10	3.2608962403831645e-09	1.0723594937976655e-17
0.0003294330965876716	3.307339048177818e-10	3.5765078083854452e-09	1.2900793019238079e-17
0.00033989042561634525	3.6435232612416974e-10	3.9226432628258045e-09	1.5519882784944768e-17
0.00035067970590172835	4.014338500959835e-10	4.30225163060882e-09	1.8670518229079136e-17
0.0003618114747078324	4.4234094711469165e-10	4.71856645481528e-09	2.246053490200236e-17
0.0003732966037873344	4.874747307199202e-10	5.1751331916083605e-09	2.7019635163976995e-17
0.0003851463099993869	5.37279162430234e-10	5.675839238349671e-09	3.250381995797151e-17
0.0003973721662644731	5.922457241318786e-10	6.224946844718351e-09	3.910071821732144e-17
0.00040998611286700745	6.529186111808987e-10	6.827129182602247e-09	4.703599558876562e-17
0.000423000469116718	7.199005055331073e-10	7.487509876773379e-09	5.658106089264572e-17
0.0004364279453802016	7.938589951153028e-10	8.211706327082611e-09	6.806233290637408e-17
0.00045028165549440145	8.755337133676889e-10	9.005877184342937e-09	8.187238314271207e-17
0.0004645751295741308	9.657442815201064e-10	9.876774376469993e-09	9.8483334100983e-17
0.00047932232722615087	1.0653991458238827e-09	1.0831800119089532e-08	1.1846296915983026e-16
0.0004945376511827087	1.1755054127707916e-09	1.1879069386006214e-08	1.4249410245300346e-16
0.0005102359613678506	1.2971797974298522e-09	1.3027478359986332e-08	1.7139786784677233e-16
0.0005264325894102466	1.4316608135775912e-09	1.428677943359904e-08	2.0616171926944217e-16
0.000543143353616704	1.5803223494630627e-09	1.5667663383778787e-08	2.47973094635615e-16
0.0005603845744209881	1.7446887900320467e-09	1.7181849402745376e-08	2.982598878726851e-16
0.0005781730903230449	1.926451865456077e-09	1.884218373241425e-08	3.587391045959753e-16
0.0005965262743341847	2.1274894271191063e-09	2.06627477199594e-08	4.31475354601191e-16
0.0006154620509442963	2.349886376085808e-09	2.2658976189310196e-08	5.189511679282401e-16
0.0006349989136276545	2.5959579958230704e-09	2.484778710767866e-08	6.241515220645996e-16
0.0006551559429044247	2.8682759709208423e-09	2.724772361838653e-08	7.506654494293409e-16
0.0006759528249754988	3.1696974071537896e-09	2.987910961201229e-08	9.028081728595627e-16
0.0006974098709488656	3.5033972058834673e-09	3.276422011799301e-08	1.0857679119224902e-15
0.000719548036676292	3.872904188018268e-09	3.592746791914973e-08	1.3057823379311025e-15
0.0007423889432196869	4.2821414100829564e-09	3.939560792308961e-08	1.5703506586857483e-15
0.0007659548979671376	4.735471168027112e-09	4.319796096808879e-08	1.888488518983739e-15
0.0007902689164192419	5.2377452439257036e-09	4.7366658897980126e-08	2.271034350397866e-15
0.0008153547446670123	5.7943610174846755e-09	5.193691291196213e-08	2.731017542425684e-15
0.000841236882583304	6.411324139147142e-09	5.694730738241797e-08	3.284100895324807e-15
0.0008679406077504206	7.095318545597186e-09	6.244012153820631e-08	3.949112322969471e-15
0.0008954920001472611	7.853784692697297e-09	6.846168163400844e-08	4.7486837861555745e-15
0.0009239179676201223	8.69500698662816e-09	7.506274646986681e-08	5.710019054097015e-15
0.0009532462721620304	9.628211512636881e-09	8.229892939085656e-08	6.8658162358132666e-15
0.0009835055570262703	1.0663675293925776e-08	9.02311601868781e-08	8.255376239444338e-15
0.0010147253747005874	1.1812848462608286e-08	9.892619062899811e-08	9.92593458116542e-15
0.0010469362157693876	1.3088490892318532e-08	1.0845714772393829e-07	1.1934261486250478e-14
0.0010801695386921236	1.4504825030230669e-08	1.18904139144752e-07	1.4348584254912153e-14
0.0011144578005269454	1.607770687744157e-08	1.3035491570619134e-07	1.7250896707205183e-14
0.001149834488629626	1.782481730372429e-08	1.4290559620073152e-07	2.073973353739768e-14
0.0011863341533587188	1.976587614874455e-08	1.5666146039892364e-07	2.493350303425103e-14
0.0012239924418188874	2.1922881860512847e-08	1.7173781654918746e-07	2.997449038215237e-14
0.001262846132675366	2.4320379757121228e-08	1.8826095029112493e-07	3.6033666276048004e-14
0.0013029331720735462	2.6985762374176888e-08	2.0636916252703909e-07	4.3316462613027014e-14
0.0013442927106987752	2.9949605782834365e-08	2.262139044830105e-07	5.2069709467995785e-14
0.0013869651420125597	3.324604623759908e-08	2.4796101893841916e-07	6.258996650341164e-14
0.0014309921417025152	3.691320204547371e-08	2.717920974163761e-07	7.523352870324283e-14
0.0014764167083845918	4.099364614566304e-08	2.979059640127488e-07	9.042844241868102e-14
0.0015232832055973276	4.5534935559930375e-08	3.2652029750435185e-07	1.0868893503877746e-13
0.0015716374051291432	5.059020462676425e-08	3.5787340442395135e-07	1.3063274239816692e-13
0.0016215265317209898	5.6218829777813696e-08	3.922261569280003e-07	1.5700191500009512e-13
0.0016729993091880158	6.248717456384666e-08	4.298641105200348e-07	1.8868780049815334e-13
0.0017261060080052883	6.9469424702404e-08	4.710998180365537e-07	2.26761039522557e-13
0.0017808984944040495	7.724852411451382e-08	5.162753577616939e-07	2.7250757950983563e-13
0.001837430281026456	8.591722425915727e-08	5.657650951214976e-07	3.274719122822356e-13
0.0018957565791882687	9.557926057940513e-08	6.199786991281126e-07	3.9350898242549254e-13
0.0019559343528005478	1.0635067156318265e-07	6.793644366096608e-07	4.728465030719019e-13
0.0020180223740029887	1.183612778167554e-07	7.444127692843324e-07	5.681597631599839e-13
0.002082081280563272	1.31756340675229e-07	8.15660280929873e-07	6.826614271947263e-13
0.002148173635098446	1.466984222595521e-07	8.936939642752748e-07	8.202093288754981e-13
0.0022163639861762043	1.633694715649827e-07	9.791558998142457e-07	9.85435860380467e-13
0.002286718931355731	1.819731641666999e-07	1.0727483615250216e-06	1.1839032796314593e-12
0.002359307182229669	2.027375264933481e-07	1.1752393874942628e-06	1.422290122566531e-12
0.002434199631530745	2.259178793925428e-07	1.2874688567012538e-06	1.708614945204857e-12
0.0025114694223685907	2.51800139942648e-07	1.4103551167404433e-06	2.0525048657910867e-12
0.002591192019664373	2.807045252071157e-07	1.5449022110647151e-06	2.4655178722243976e-12
0.0026734452838530023	3.129897069423914e-07	1.6922077584389647e-06	2.9615296543729097e-12
0.002758309546924902	3.490574722260233e-07	1.853471541724968e-06	3.557197874901151e-12
0.0028458676908816043	3.893579516442484e-07	2.0300048678967737e-06	4.272519378193203e-12
