r	P	Q	rho
0.00010366072306285332	2.232375115587792e-05	-2.6860478210788595e-06	5.055647185666831e-10
0.00010695126763668912	2.371861680329243e-05	-2.8538997985978293e-06	5.707175271218628e-10
0.00011034626530782614	2.5200552272957583e-05	-3.032231143616072e-06	6.442622605703827e-10
0.00011384903177349655	2.6774984304766168e-05	-3.2216951668689915e-06	7.272791042687017e-10
0.00011746298798246096	2.8447677067796235e-05	-3.4229858177393926e-06	8.209871624620649e-10
0.0001211916634760504	3.022475305714816e-05	-3.6368402027653705e-06	9.267623040260376e-10
0.00012503869983526478	3.2112715305911745e-05	-3.8640412626149855e-06	1.0461572991977297e-09
0.00012900785423729358	3.41184709239472e-05	-4.105420607921557e-06	1.1809245365561773e-09
0.00013310300312493282	3.624935611042962e-05	-4.3618615361512e-06	1.3330416544812968e-09
0.00013732814599248192	3.851316269981611e-05	-4.6343022299567095e-06	1.5047404583010888e-09
0.00014168740929181755	4.091816633806916e-05	-4.92373915454222e-06	1.6985395437318686e-09
0.00014618505046245982	4.347315639005278e-05	-5.231230662933344e-06	1.917281100762801e-09
0.00015082546208956658	4.618746768269993e-05	-5.5579008231884105e-06	2.164172432500849e-09
0.00015561317619391618	4.907101419549572e-05	-5.904943480594452e-06	2.442832791683558e-09
0.0001605528686580693	5.213432481638742e-05	-6.273626569239944e-06	2.7573462143908625e-09
0.00016564936379303232	5.538858128823623e-05	-6.665296688079704e-06	3.112321117063679e-09
0.00017090763904988162	5.884565847837535e-05	-7.0813839575376014e-06	3.51295752050766e-09
0.00017633282988095155	6.251816711169923e-05	-7.523407173641247e-06	3.965122874506748e-09
0.00018193023475533257	6.641949911602272e-05	-7.992979277694243e-06	4.475437580556992e-09
0.0001877053203335785	7.056387573723826e-05	-8.491813160559301e-06	5.05137144981425e-09
0.0001936637268066769	7.496639859108886e-05	-9.021727821754829e-06	5.701352490607835e-09
0.0001998112734044961	7.964310382819185e-05	-9.584654904761496e-06	6.434889597031516e-09
0.0002061539640790897	8.461101959932065e-05	-1.018264563119706e-05	7.26271090968716e-09
0.0002126979933684076	8.988822701890834e-05	-1.0817878157851215e-05	8.196919844440918e-09
0.0002194497524461424	9.549392483630899e-05	-1.1492665381981244e-05	9.251171038224821e-09
0.0002264158353636175	0.00010144849803657016	-1.2209463221757392e-05	1.0440868746039427e-08
0.00023360304548981456	0.0001077735906053687	-1.297087940031888e-05	1.1783390544391234e-08
0.0002410184021558292	0.00011449218270637394	-1.3779682763561064e-05	1.3298339557934094e-08
0.00024866914751024423	0.00012162867253366557	-1.4638813163526365e-05	1.5007828833138284e-08
0.0002565627535921164	0.000129208963116984	-1.555139194112073e-05	1.6936801941072485e-08
0.00026470692962848283	0.00013726055437356815	-1.6520733043828476e-05	1.9113394407244703e-08
0.000273109629563516	0.0001458126407171803	-1.7550354816156436e-05	2.1569341147090496e-08
0.00028177905982667965	0.00015489621455267027	-1.8643992502708983e-05	2.434043573918793e-08
0.000290723687347472	0.00016454417600313714	-1.9805611506083703e-05	2.746704810368129e-08
0.00029995224782458456	0.00017479144923644843	-2.1039421444189263e-05	3.0994707980884134e-08
0.00030947375425755214	0.00018567510577862192	-2.234989105412848e-05	3.497476253603385e-08
0.0003192975057492268	0.00019723449522341072	-2.374176399246611e-05	3.946511746350758e-08
0.0003294330965876716	0.000209511383770408	-2.5220075584519565e-05	4.4531072141880063e-08
0.00033989042561634525	0.00022255010104815144	-2.679017057827753e-05	5.0246260716155626e-08
0.00035067970590172835	0.00023639769570411504	-2.8457721961673064e-05	5.669371247346326e-08
0.0003618114747078324	0.0002511041002701723	-3.0228750905221408e-05	6.396704655378268e-08
0.0003732966037873344	0.00026672230584016407	-3.2109647895484855e-05	7.217181792066604e-08
0.0003851463099993869	0.0002833085471256489	-3.4107195128455376e-05	8.142703363397655e-08
0.0003973721662644731	0.00030092249848682014	-3.622859023575681e-05	9.186686084602064e-08
0.00040998611286700745	0.0003196274815679848	-3.8481471420570894e-05	1.0364255061618468e-07
0.000423000469116718	0.00033949068520098733	-4.087394408439135e-05	1.1692460464324982e-07
0.0004364279453802016	0.0003605833982755608	-4.34146090301162e-05	1.3190521538918956e-07
0.00045028165549440145	0.0003829812563128753	-4.611259233160808e-05	1.4880101385852936e-07
0.0004645751295741308	0.0004067645025175664	-4.897757696469238e-05	1.6785616355369567e-07
0.00047932232722615087	0.0004320182641243311	-5.201983629963216e-05	1.8934584390564087e-07
0.0004945376511827087	0.0004588328448978153	-5.5250269560423626e-05	2.135801718435221e-07
0.0005102359613678506	0.0004873040346890456	-5.8680439361804616e-05	2.4090861618791697e-07
0.0005264325894102466	0.0005175334369981201	-6.232261144066754e-05	2.7172496630787156e-07
0.000543143353616704	0.000549628815541311	-6.618979670462478e-05	3.0647292406114396e-07
0.0005603845744209881	0.0005837044608711888	-7.029579572679532e-05	3.4565239653778846e-07
0.0005781730903230449	0.0006198815781508886	-7.465524582247233e-05	3.8982657665964995e-07
0.0005965262743341847	0.0006582886972382251	-7.928367085019783e-05	4.396299093750821e-07
0.0006154620509442963	0.0006990621062920563	-8.419753388691774e-05	4.957770531661248e-07
0.0006349989136276545	0.000742346310172099	-8.941429293432356e-05	5.590729600070753e-07
0.0006551559429044247	0.0007882945149643278	-9.495245982120586e-05	6.304242119489425e-07
