r	P	Q	rho
9.105333782547928e-05	0.00011218016066147758	-1.5429107466692427e-05	1.2822445803253666e-08
9.394368103222691e-05	0.00011912562373239776	-1.6384313423732725e-05	1.4459359955999915e-08
9.692577358119864e-05	0.0001265006777586041	-1.7398594710111193e-05	1.6305132571272906e-08
0.00010000252790915238	0.00013433185298444332	-1.8475599056633585e-05	1.838639448673557e-08
0.000103176948903513	0.00014264731417654384	-1.9619198874006808e-05	2.0733169206239435e-08
0.00010645213683707131	0.0001514769609188286	-2.083350503470195e-05	2.337930462123528e-08
0.00010983129039584067	0.00016085253415991285	-2.2122881512780478e-05	2.6362959632094452e-08
0.00011331770980302816	0.00017080772906742623	-2.349196088429626e-05	2.9727152535360588e-08
0.00011691480004217074	0.0001813783148817028	-2.494566080279259e-05	3.352037910221411e-08
0.00012062607418258546	0.00019260226204917955	-2.6489201458936884e-05	3.779730914039297e-08
0.00012445515681038026	0.0002045198770908552	-2.8128124111923124e-05	4.261957149131427e-08
0.0001284057875683769	0.00021717394568017588	-2.9868310743414208e-05	4.805663866896113e-08
0.00013248182480840308	0.00023060988442163597	-3.171600490738734e-05	5.418682376024572e-08
0.00013668724935952096	0.0002448759018537651	-3.367783384575306e-05	6.109840380123695e-08
0.00014102616841587168	0.00026002316923068634	-3.5760831946176205e-05	6.889088563825281e-08
0.0001455028195479338	0.0002761060016689665	-3.79724656224328e-05	7.767643230307015e-08
0.00015012157484111223	0.00029318205028107364	-4.032065970247973e-05	8.758147020585718e-08
0.00015488694516570072	0.000311312505953234	-4.281382541437664e-05	9.874850000949509e-08
0.00015980358458238673	0.0003305623154640396	-4.546089006547797e-05	1.1133813693049272e-07
0.00016487629488760275	0.0003510004106809011	-4.827132851588093e-05	1.2553140945484932e-07
0.00017011003030316214	0.00037269995161447666	-5.125519655299689e-05	1.415323491071196e-07
0.00017550990231476012	0.0003957385841566604	-5.4423166280324176e-05	1.59570908018294e-07
0.00018108118466406524	0.00042019871337571526	-5.778656364005657e-05	1.799062456599328e-07
0.00018682931849927693	0.0004461677932928012	-6.135740819608189e-05	2.028304313123084e-07
0.00019275991768917915	0.0004737386341176409	-6.5148455311227e-05	2.2867261468508697e-07
0.00019887877430588025	0.0005030097279775037	-6.917324086030938e-05	2.5780372369112065e-07
0.00020519186428159385	0.0005340855942332372	-7.344612862868083e-05	2.906417557780108e-07
0.00021170535324498507	0.0005670771455388848	-7.79823605545165e-05	3.276577375501841e-07
0.0002184256025427821	0.0006021020758676644	-8.27981099821346e-05	3.693824367807644e-07
0.00022535917545253467	0.0006392852717969107	-8.791053810315118e-05	4.164139214460355e-07
0.00023251284359258623	0.0006787592484181719	-9.333785377230352e-05	4.694260722600215e-07
0.00023989359353552084	0.0007206646113162084	-9.9099376895339e-05	5.29178168504586e-07
0.000247508633631543	0.0007651505461423101	-0.00010521560559748962	5.965256819231219e-07
0.00025536540104845515	0.0008123753373933664	-0.00011170828739276025	6.724324302772096e-07
0.000263471569035108	0.0008625069180986752	-0.00011860049458657909	7.579842610842559e-07
0.00027183505441541743	0.0009157234522117433	-0.0001259167041573182	8.544044573164346e-07
0.0002804640253202668	0.0009722139516045859	-0.00013368288237581877	9.63071080734911e-07
0.00028936690916484665	0.001032178929667426	-0.00014192657443637836	1.0855364953806384e-06
0.0002985524008792222	0.0010958310936275007	-0.00015067699938770782	1.2235493439053276e-06
0.0003080294714001668	0.0011633960778171064	-0.00015996515066816748	1.3790792833085163e-06
0.0003178073764325555	0.001235113220243304	-0.00016982390256618628	1.554344824702594e-06
0.00032789566548887487	0.0013112363849400771	-0.00018028812294417336	1.7518446644654553e-06
0.00033830419121567767	0.0013920348327184718	-0.00019139479258249004	1.9743929421292383e-06
0.00034904311901609125	0.0014777941430715378	-0.0002031831315191876	2.225158914230484e-06
0.0003601229369777768	0.0015688171901390442	-0.00021569473278126408	2.507711593825347e-06
0.0003715544661160361	0.0016654251757921331	-0.00022897370392418865	2.8260699732510192e-06
0.00038334887094206894	0.0017679587230606457	-0.00024306681681840535	3.184759523884461e-06
0.000395517670366704	0.0018767790332959325	-0.0002580236661445056	3.5888757521098663e-06
0.00040807274895025	0.001992269110639912	-0.0002738968370827618	4.044155686573886e-06
0.00042102636850945685	0.0021148350575570835	-0.00029074208270779057	4.557058279329736e-06
0.0004343911800929199	0.002244907445380487	-0.00030861851162527744	5.134854824042545e-06
0.0004481802363366256	0.0023829427640253043	-0.0003275887864149768	5.785730629605394e-06
0.0004624070042117031	0.002529424955235302	-0.000347719333472627	6.518899339037758e-06
0.00047708537817683455	0.0026848670339476325	-0.00036908056487301017	7.344731453345738e-06
0.0004922296937481653	0.00284981280259095	-0.0003917471129071552	8.274898810282375e-06
0.000507854741499972	0.0030248386633704724	-0.0004157980779786549	9.32253698107161e-06
0.0005239757815097568	0.003210555533841588	-0.0004413172905772432	1.0502427786843283e-05
0.0005406085582618819	0.0034076108713310977	-0.0004683935880821724	1.1831204403770374e-05
0.0005577693160242912	0.003616690812032143	-0.0004971211071835422	1.3327581825045113e-05
0.000575474814713346	0.003838522430875329	-0.0005275995927465442	1.5012615782599363e-05
0.0005937423462622624	0.004073876128564599	-0.0005599347239816108	1.6909993606008848e-05
0.0006125897515091389	0.004323568152461772	-0.0005942384588226482	1.9046360914925618e-05
0.0006320354376210673	0.004588463258308364	-0.000630629397455871	2.1451688509781366e-05
0.0006520983960713466	0.004869477520087022	-0.0006692331659832078	2.415968434908476e-05
0.0006727982211873506	0.005167581295647438	-0.0007101828212467452	2.7208256086719238e-05
0.000694155129287172	0.005483802356052403	-0.0007536192778841656	3.064003029624454e-05
0.000716189978423727	0.005819229186938503	-0.0007996917587295318	3.450293523909688e-05
0.000738924288755605	0.006175014470531968	-0.0008485582697189758	3.885085484838766e-05
0.0007623802635645587	0.006552378757312804	-0.0009003861005067509	4.3744362509269835e-05
0.0007865808109401617	0.006952614336678712	-0.0009553523520435632	4.9251544231145535e-05
0.0008115495661528099	0.0073770893163232765	-0.0010136444924159626	5.544892193801624e-05
0.0008373109147369186	0.007827251920409438	-0.0010754609422926344	6.242248886395021e-05
0.000863890016306859	0.008304635016987897	-0.0011410116913705343	7.026887044522581e-05
0.0008913128291288942	0.008810860885479213	-0.0012105189472606125	7.909662566494448e-05
0.0009196061354731107	0.009347646235406223	-0.00128421781829923	8.902770554714138e-05
