r	P	Q	rho
9.105333782547928e-05	-3.322063802817519e-07	-2.3290192406869246e-06	5.534691702589803e-12
9.394368103222691e-05	-3.531808869248936e-07	-2.4732677198155115e-06	6.241789952770474e-12
9.692577358119864e-05	-3.7549162878346573e-07	-2.626443122087572e-06	7.039197436847573e-12
0.00010000252790915238	-3.992248558238088e-07	-2.789097212793852e-06	7.938443747921976e-12
0.000103176948903513	-4.244724892212093e-07	-2.9618157959169182e-06	8.952529703048618e-12
0.00010645213683707131	-4.5133250374118827e-07	-3.145220807041152e-06	1.0096114953977886e-11
0.00010983129039584067	-4.799093368863801e-07	-3.339972537094592e-06	1.138572952017681e-11
0.00011331770980302816	-5.103143263073096e-07	-3.546771988247384e-06	1.2840012248250784e-11
0.00011691480004217074	-5.426661782358262e-07	-3.7663633763652095e-06	1.4479979663826218e-11
0.00012062607418258546	-5.770914684785785e-07	-3.9995367860114746e-06	1.6329329065649755e-11
0.00012445515681038026	-6.137251788649765e-07	-4.247130987574886e-06	1.8414780220791674e-11
0.0001284057875683769	-6.527112714706456e-07	-4.51003642652307e-06	2.076646057246981e-11
0.00013248182480840308	-6.94203303513283e-07	-4.789198395144882e-06	2.3418339494667066e-11
0.00013668724935952096	-7.383650858800684e-07	-5.085620397833478e-06	2.6408717830906623e-11
0.00014102616841587168	-7.853713885241874e-07	-5.400367721612562e-06	2.9780779746547257e-11
0.0001455028195479338	-8.354086962059083e-07	-5.734571224302652e-06	3.3583214816296476e-11
0.00015012157484111223	-8.886760183256637e-07	-6.0894313534631765e-06	3.7870919274087525e-11
0.00015488694516570072	-9.453857568873137e-07	-6.466222410025992e-06	4.2705786485247745e-11
0.00015980358458238673	-1.0057646369447882e-06	-6.866297071361432e-06	4.815759797711527e-11
0.00016487629488760275	-1.0700547042257334e-06	-7.291091189390797e-06	5.430502780204773e-11
0.00017011003030316214	-1.1385143949939496e-06	-7.742128880282522e-06	6.123677462651313e-11
0.00017550990231476012	-1.2114196836106422e-06	-8.221027923245365e-06	6.905283776461931e-11
0.00018108118466406524	-1.289065313685282e-06	-8.729505486964005e-06	7.786595542988121e-11
0.00018682931849927693	-1.3717661191730094e-06	-9.26938420331344e-06	8.780322579434771e-11
0.00019275991768917915	-1.4598584422799535e-06	-9.842598609141534e-06	9.900793405217091e-11
0.00019887877430588025	-1.5537016555838442e-06	-1.0451201978127485e-05	1.1164161162217983e-10
0.00020519186428159385	-1.6536797963684e-06	-1.1097373566011237e-05	1.25886356932522e-10
0.00021170535324498507	-1.7602033218099983e-06	-1.1783426293848764e-05	1.419474509566774e-10
0.0002184256025427821	-1.8737109943482388e-06	-1.2511814895384084e-05	1.6005630486669653e-10
0.00022535917545253467	-1.9946719073227517e-06	-1.3285144556145548e-05	1.8047378189554627e-10
0.00023251284359258623	-2.123587661771848e-06	-1.4106180073474642e-05	2.034939408225227e-10
0.00023989359353552084	-2.2609947061697497e-06	-1.497785556838548e-05	2.2944825448874357e-10
0.000247508633631543	-2.4074668518339327e-06	-1.590328478193612e-05	2.587103634980402e-10
0.00025536540104845515	-2.563617977768942e-06	-1.688577199067417e-05	2.9170143285697647e-10
0.000263471569035108	-2.7301049398346618e-06	-1.7928823577703124e-05	3.288961878629131e-10
0.00027183505441541743	-2.907630700343012e-06	-1.90361602980084e-05	3.7082971518104846e-10
0.0002804640253202668	-3.0969476955053588e-06	-2.021173027888759e-05	4.181051258951974e-10
0.00028936690916484665	-3.2988614595825367e-06	-2.145972279865413e-05	4.714021895245949e-10
0.0002985524008792222	-3.5142345261396705e-06	-2.2784582889232955e-05	5.314870617410392e-10
0.0003080294714001668	-3.743990628489532e-06	-2.41910268108466e-05	5.992232439893164e-10
0.0003178073764325555	-3.989119223232126e-06	-2.5684058449706707e-05	6.755839306251106e-10
0.00032789566548887487	-4.250680362776913e-06	-2.726898669248573e-05	7.61665918781461e-10
0.00033830419121567767	-4.529809944880927e-06	-2.895144383435256e-05	8.58705278230413e-10
0.00034904311901609125	-4.827725369565376e-06	-3.073740508052147e-05	9.680950033280122e-10
0.0003601229369777768	-5.145731636301159e-06	-3.263320920459216e-05	1.091404897063509e-09
0.0003715544661160361	-5.485227917096784e-06	-3.464558043045754e-05	1.2304039686658004e-09
0.00038334887094206894	-5.847714644099527e-06	-3.678165160823224e-05	1.3870856615881896e-09
0.000395517670366704	-6.234801153552049e-06	-3.9048988758515435e-05	1.5636962684869988e-09
0.00040807274895025	-6.648213931454362e-06	-4.1455617063355554e-05	1.7627669345819599e-09
0.00042102636850945685	-7.089805510088657e-06	-4.401004838653693e-05	1.9871497011562054e-09
0.0004343911800929199	-7.561564068698003e-06	-4.672131041026996e-05	2.240058097617825e-09
0.0004481802363366256	-8.065623796097384e-06	-4.959897748004196e-05	2.525112854285882e-09
0.0004624070042117031	-8.604276077867425e-06	-5.2653203254285777e-05	2.8463933797612917e-09
