r	P	Q	rho
9.105333782547928e-05	2.1506744636093635e-11	2.2803183466324856e-10	5.246105768472927e-20
9.394368103222691e-05	2.3611338906237537e-11	2.5004567837069926e-10	6.30803365968084e-20
9.692577358119864e-05	2.592278411147024e-11	2.741841797040265e-10	7.584895513605979e-20
0.00010000252790915238	2.846152731601897e-11	3.0065233020773957e-10	9.120188219650416e-20
0.000103176948903513	3.125005178862154e-11	3.2967489039502416e-10	1.0966209909376272e-19
0.00010645213683707131	3.431308159420776e-11	3.614982935299239e-10	1.3185840379353778e-19
0.00010983129039584067	3.767780740425846e-11	3.963927385709103e-10	1.5854682036253847e-19
0.00011331770980302816	4.137413472274704e-11	4.3465447624612296e-10	1.906363327448475e-19
0.00011691480004217074	4.543495779632903e-11	4.766083203912552e-10	2.292198264561276e-19
0.00012062607418258546	4.989646142665369e-11	5.226104001385189e-10	2.7561128719584434e-19
0.00012445515681038026	5.4798453642699916e-11	5.730511767291224e-10	3.31390521672263e-19
0.0001284057875683769	6.018473245081443e-11	6.28358750775644e-10	3.9845692169650395e-19
0.00013248182480840308	6.610349020809716e-11	6.890024877752287e-10	4.790940995781461e-19
0.00013668724935952096	7.260775953794166e-11	7.554969924661216e-10	5.760475923704746e-19
0.00014102616841587168	7.975590512694499e-11	8.28406465551248e-10	6.926182765697292e-19
0.0001455028195479338	8.761216620202403e-11	9.083494795182129e-10	8.327746686076194e-19
0.00015012157484111223	9.62472549986436e-11	9.960042138088636e-10	1.0012879280197863e-18
0.00015488694516570072	1.0573901709828186e-10	1.09211419344956e-09	1.2038941512708937e-18
0.00015980358458238673	1.1617316014242594e-10	1.1974945794798627e-09	1.447489471021131e-18
0.00016487629488760275	1.2764405812833504e-10	1.313039064147917e-09	1.7403645895539078e-18
0.00017011003030316214	1.402556392662239e-10	1.4397274289135323e-09	2.092486713911947e-18
0.00017550990231476012	1.541223662369625e-10	1.578633828856957e-09	2.515838469386057e-18
0.00018108118466406524	1.693703186434091e-10	1.730935873178629e-09	3.024825301894033e-18
0.00018682931849927693	1.8613838850773128e-10	1.89792457814312e-09	3.636765203995994e-18
0.00019275991768917915	2.0457960084338162e-10	2.081015276124243e-09	4.372477392543698e-18
0.00019887877430588025	2.2486257263701784e-10	2.281759572408142e-09	5.2569899228491255e-18
0.00020519186428159385	2.4717312502733584e-10	2.5018584501731796e-09	6.320390258438723e-18
0.00021170535324498507	2.7171606508098917e-10	2.7431766336618e-09	7.598847663491181e-18
0.0002184256025427821	2.9871715535886116e-10	3.0077583300693163e-09	9.135842111007052e-18
0.00022535917545253467	3.2842529145944126e-10	3.2978444821841646e-09	1.098364140074276e-17
0.00023251284359258623	3.611149099428175e-10	3.6158916764182286e-09	1.3205076593773636e-17
0.00023989359353552084	3.97088651504386e-10	3.964592864667761e-09	1.5875675979728098e-17
0.000247508633631543	4.3668030701033504e-10	4.3469000735583855e-09	1.9086229940032535e-17
0.00025536540104845515	4.802580770591448e-10	4.766049291175436e-09	2.2945873666494422e-17
0.000263471569035108	5.28228179130388e-10	5.225587739498699e-09	2.758579223242653e-17
0.00027183505441541743	5.810388401637775e-10	5.729403760596641e-09	3.3163673585717803e-17
0.0002804640253202668	6.391847166221846e-10	6.2817595663509105e-09	3.9869060351404565e-17
0.00028936690916484665	7.032117887819171e-10	6.887327125254532e-09	4.792978175014872e-17
0.0002985524008792222	7.737227812175036e-10	7.55122748584979e-09	5.761968348522831e-17
0.0003080294714001668	8.513831672686849e-10	8.279073864855858e-09	6.926791735724776e-17
0.0003178073764325555	9.369278217637794e-10	9.077018859212578e-09	8.327010511369584e-17
0.00032789566548887487	1.0311683935037906e-09	9.951806175388076e-09	1.0010175440825343e-16
0.00033830419121567767	1.1350014770725134e-09	1.0910827306639437e-08	1.2033438086826557e-16
0.00034904311901609125	1.2494176725267938e-09	1.1962183629779298e-08	1.446548817129821e-16
0.0003601229369777768	1.3755116315468591e-09	1.311475443771566e-08	1.738888162101033e-16
0.0003715544661160361	1.5144931998111863e-09	1.4378271472956908e-08	2.0902838020232075e-16
0.00038334887094206894	1.6676997778400683e-09	1.576340058080218e-08	2.512660204198423e-16
0.000395517670366704	1.8366100364796997e-09	1.7281831159496477e-08	3.0203482465144133e-16
0.00040807274895025	2.0228591387451675e-09	1.8946374148689305e-08	3.630570524773272e-16
0.00042102636850945685	2.2282556370977875e-09	2.077106936760549e-08	4.3640244585813715e-16
0.0004343911800929199	2.4548002346142635e-09	2.2771303090974816e-08	5.245582886529015e-16
0.0004481802363366256	2.7047066201524028e-09	2.4963936834582192e-08	6.305135801821058e-16
0.0004624070042117031	2.9804246117998544e-09	2.736744841395564e-08	7.578601635571453e-16
0.00047708537817683455	3.284665869910035e-09	3.00020864399303e-08	9.109142206260012e-16
0.0004922296937481653	3.620432471221064e-09	3.289003952440266e-08	1.094862231195441e-15
0.000507854741499972	3.991048669297829e-09	3.605562158938206e-08	1.3159363176774177e-15
0.0005239757815097568	4.400196204258606e-09	3.952547480339575e-08	1.5816248850698443e-15
0.0005406085582618819	4.851953566921682e-09	4.3328791812432776e-08	1.9009256533407055e-15
0.0005577693160242912	5.350839669667428e-09	4.749755908903828e-08	2.2846496045871692e-15
0.000575474814713346	5.901862429054904e-09	5.2066823394107356e-08	2.745786078484655e-15
0.0005937423462622624	6.510572824229457e-09	5.707498353270403e-08	3.299941303758031e-15
0.0006125897515091389	7.183125061160355e-09	6.256410978928668e-08	3.965865119370187e-15
0.0006320354376210673	7.926343546597446e-09	6.858029365062918e-08	4.766083599225216e-15
0.0006520983960713466	8.747797458277928e-09	7.517403066819782e-08	5.727658847274201e-15
0.0006727982211873506	9.655883790407673e-09	8.24006395776378e-08	6.8831014945776264e-15
0.000694155129287172	1.065991985697386e-08	9.032072108336836e-08	8.271466548376726e-15
0.000716189978423727	1.1770246351349253e-08	9.900066003328205e-08	9.939669386196942e-15
0.000738924288755605	1.2998342190416737e-08	1.0851317505459167e-07	1.1944066060127623e-14
0.0007623802635645587	1.4356952516751344e-08	1.1893792009956934e-07	1.4352350923179794e-14
0.0007865808109401617	1.586023139512481e-08	1.3036214276210974e-07	1.7245835205435584e-14
0.0008115495661528099	1.7523900921851774e-08	1.4288140467579772e-07	2.0722182905647948e-14
0.0008373109147369186	1.9365428669640553e-08	1.5660036979481061e-07	2.4898695647430367e-14
0.000863890016306859	2.1404225619295586e-08	1.7163366689416598e-07	2.9916256485899233e-14
0.0008913128291288942	2.3661866985815564e-08	1.881068332094683e-07	3.5944064649349153e-14
0.0009196061354731107	2.6162338633474843e-08	2.0615734677268995e-07	4.3185319591127745e-14
0.0009487975677701086	2.893231209610466e-08	2.2593575569426585e-07	5.188404438436539e-14
0.0009789156355979923	3.2001451579197554e-08	2.476069133979183e-07	6.233327646561994e-14
0.0010099897535260228	3.5402756724344934e-08	2.713513296385845e-07	7.488489928031089e-14
