r	P	Q	rho
9.105333782547928e-05	2.192885248273575e-09	-1.9895618886717208e-10	4.848329277184408e-18
9.394368103222691e-05	2.404557954566956e-09	-2.1815979190895643e-10	5.829492651676982e-18
9.692577358119864e-05	2.63665687613484e-09	-2.3921638677575153e-10	7.009183962171178e-18
0.00010000252790915238	2.8911523454198515e-09	-2.6230469676077247e-10	8.42756563836947e-18
0.000103176948903513	3.1702046528636984e-09	-2.8762067333418263e-10	1.0132923192767851e-17
0.00010645213683707131	3.4761823326420204e-09	-3.153791542654197e-10	1.218330762071769e-17
0.00010983129039584067	3.811682264496249e-09	-3.458156863746346e-10	1.4648510174418014e-17
0.00011331770980302816	4.17955162910706e-09	-3.7918851618362573e-10	1.7612435751177017e-17
0.00011691480004217074	4.582912025827989e-09	-4.1578077688941176e-10	2.1175956290909563e-17
0.00012062607418258546	5.025185901966075e-09	-4.559028845427721e-10	2.5460340789453015e-17
0.00012445515681038026	5.510125521636705e-09	-4.998951646234371e-10	3.0611378439806066e-17
0.0001284057875683769	6.041844721834855e-09	-5.481307311575392e-10	3.680433494120299e-17
0.00013248182480840308	6.624853722267552e-09	-6.010186426467961e-10	4.4249910250251234e-17
0.00013668724935952096	7.264097282225486e-09	-6.590073613411146e-10	5.320140002793747e-17
0.00014102616841587168	7.964996525837181e-09	-7.225885449756009e-10	6.396330386192831e-17
0.0001455028195479338	8.733494787736495e-09	-7.92301202859605e-10	7.690167240347331e-17
0.00015012157484111223	9.576107864902135e-09	-8.6873625126157e-10	9.245654451449653e-17
0.00015488694516570072	1.0499979097348962e-08	-9.525415063750435e-10	1.1115689636613236e-16
0.00015980358458238673	1.1512939740791993e-08	-1.0444271568120178e-09	1.3363860956099402e-16
0.00016487629488760275	1.2623575138703412e-08	-1.1451717615792942e-09	1.606660676460095e-16
0.00017011003030316214	1.3841297249703518e-08	-1.2556288238848122e-09	1.9315811329802053e-16
0.00017550990231476012	1.5176424139369275e-08	-1.3767339959300736e-09	2.3221924615358004e-16
0.00018108118466406524	1.6640267103747257e-08	-1.5095129751113983e-09	2.791771187060828e-16
0.00018682931849927693	1.8245226155600007e-08	-1.6550901578201082e-09	3.356276008995036e-16
0.00019275991768917915	2.0004894674221023e-08	-1.8146981233471047e-09	4.034889402055561e-16
0.00019887877430588025	2.193417409609668e-08	-1.9896880273124816e-09	4.850668517239094e-16
0.00020519186428159385	2.4049399607401087e-08	-2.1815409916123855e-09	5.831327425745487e-16
0.00021170535324498507	2.6368477890968078e-08	-2.391880586165171e-09	7.010177190249461e-16
0.0002184256025427821	2.8911038080743544e-08	-2.6224865068147074e-09	8.427255583846285e-16
0.00022535917545253467	3.1698597186601966e-08	-2.8753095636844558e-09	1.0130684686854653e-15
0.00023251284359258623	3.475474137270963e-08	-3.152488105152496e-09	1.2178302291370622e-15
0.00023989359353552084	3.810532460431597e-08	-3.4563660145235136e-09	1.463962229226641e-15
0.000247508633631543	4.1778686322024283e-08	-3.789512429505481e-09	1.7598190352474756e-15
0.00025536540104845515	4.5805889960407726e-08	-4.154743348861911e-09	2.1154414473598936e-15
0.000263471569035108	5.022098430057544e-08	-4.555145306220663e-09	2.5428966128794293e-15
0.00027183505441541743	5.506128983535863e-08	-4.994101308103287e-09	3.0566866862089666e-15
0.0002804640253202668	6.036771253270624e-08	-5.475319251932631e-09	3.6742398373420416e-15
0.00028936690916484665	6.618508760932684e-08	-6.002863060231311e-09	4.416500186774159e-15
0.0002985524008792222	7.256255617441359e-08	-6.5811867896040564e-09	5.3086365781245866e-15
0.0003080294714001668	7.95539778744375e-08	-7.2151719975821625e-09	6.3808941026011855e-15
0.0003178073764325555	8.721838296666999e-08	-7.910168677194541e-09	7.66961709582238e-15
0.00032789566548887487	9.562046757367779e-08	-8.672040098430707e-09	9.218478098477557e-15
0.00033830419121567767	1.0483113622612005e-07	-9.507211927810239e-09	1.1079954201099638e-14
0.00034904311901609125	1.1492809618960513e-07	-1.0422726032325484e-08	1.3317100511712046e-14
0.0003601229369777768	1.2599650849623036e-07	-1.1426299412357612e-08	1.6005680471501495e-14
0.0003715544661160361	1.3812970106610918e-07	-1.2526388750083942e-08	1.9236724731730912e-14
0.00038334887094206894	1.5142994981237517e-07	-1.3732261105727692e-08	2.311960469525434e-14
0.000395517670366704	1.6600933417886645e-07	-1.5054071344110774e-08	2.7785724098544133e-14
0.00040807274895025	1.8199067416732073e-07	-1.6502946928749582e-08	3.3392952741209026e-14
0.00042102636850945685	1.9950855657524257e-07	-1.8091080780611845e-08	4.0130951350547383e-14
0.0004343911800929199	2.187104588918569e-07	-1.9831832964097223e-08	4.8227566427402475e-14
0.0004481802363366256	2.397579800934256e-07	-2.173984203432505e-08	5.795650975015688e-14
0.0004624070042117031	2.6282818844688524e-07	-2.383114695796439e-08	6.964658020760352e-14
0.00047708537817683455	2.8811509737901613e-07	-2.6123320605229748e-08	8.369273721716358e-14
0.0004922296937481653	3.1583128150454484e-07	-2.8635615903948296e-08	1.005693968750015e-13
0.000507854741499972	3.4620964603873885e-07	-3.138912584849854e-08	1.2084639623180172e-13
0.0005239757815097568	3.7950536405690453e-07	-3.440695866770711e-08	1.4520816015272496e-13
0.0005406085582618819	4.1599799741426556e-07	-3.771442957731781e-08	1.7447671205102177e-13
0.0005577693160242912	4.55993818615329e-07	-4.133927067534028e-08	2.0963929791535862e-13
0.000575474814713346	4.998283525333194e-07	-4.531186068344896e-08	2.5188154671476846e-13
0.0005937423462622624	5.478691586398121e-07	-4.9665476395728513e-08	3.0262727453431023e-13
0.0006125897515091389	6.005188763256954e-07	-5.443656786863788e-08	3.6358626074479265e-13
0.0006320354376210673	6.582185579914967e-07	-5.966505957438064e-08	4.3681158941841974e-13
0.0006520983960713466	7.21451316873703e-07	-6.539467994532688e-08	5.24768466783952e-13
0.0006727982211873506	7.907463190711047e-07	-7.16733219612515e-08	6.304168062054625e-13
0.000694155129287172	8.666831519599914e-07	-7.855343767558896e-08	7.573103284619582e-13
0.000716189978423727	9.498966041594334e-07	-8.609246984344521e-08	9.097154719573677e-13
0.000738924288755605	1.0410818954497935e-06	-9.43533241046982e-08	1.092754062802941e-12
0.0007623802635645587	1.1410003985828626e-06	-1.0340488549226545e-07	1.3125744799099198e-12
0.0007865808109401617	1.2504858987763337e-06	-1.1332258338080485e-07	1.5765569909425544e-12
0.0008115495661528099	1.370451440886766e-06	-1.2418900936721208e-07	1.8935600618762225e-12
0.0008373109147369186	1.5018968188340031e-06	-1.360945929839693e-07	2.274215792663171e-12
0.000863890016306859	1.6459167668390643e-06	-1.4913834059257354e-07	2.731284247996665e-12
0.0008913128291288942	1.8037099174723605e-06	-1.6342864329006898e-07	3.280078387835782e-12
0.0009196061354731107	1.976588597428197e-06	-1.790841601905096e-07	3.938973619914307e-12
0.0009487975677701086	2.1659895383865126e-06	-1.9623478401864695e-07	4.7300187708586635e-12
0.0009789156355979923	2.3734855873386397e-06	-2.150226965792205e-07	5.679668593348446e-12
0.0010099897535260228	2.600798508389223e-06	-2.3560352234619278e-07	6.819661900981539e-12
0.0010420502698421175	2.8498129763537378e-06	-2.5814758915671026e-07	8.188074177981571e-12
0.001075128496192266	3.122591871506927e-06	-2.8284130579943746e-07	9.830579200267464e-12
0.0011092567381607943	3.4213929946631266e-06	-3.0988866716154444e-07	1.1801961009965076e-11
0.001144468326821358	3.748687332450525e-06	-3.3951289854875716e-07	1.4167925724756011e-11
0.0011807976512894648	4.107179014248975e-06	-3.7195825182468643e-07	1.7007272396187657e-11
0.0012182801923083294	4.499827114871174e-06	-4.0749196713574777e-07	2.0414493767009992e-11
0.001256952556900858	4.929869470761988e-06	-4.4640641520350316e-07	2.4502891686285922e-11
0.001296852514121601	5.40084869235846e-06	-4.890214364848023e-07	2.940830856309175e-11
0.0013380190319435986	5.916640571388265e-06	-5.356868949298644e-07	3.529359610039725e-11
0.0013804923153161392	6.481485099388325e-06	-5.867854656181421e-07	4.235396627625358e-11
0.0014243138454305992	7.100020332706857e-06	-6.427356772308161e-07	5.0823397875636144e-11
0.0014695264202327163	7.777319359827307e-06	-7.039952321370198e-07	6.098230571161628e-11
0.0015161741962208613	8.518930649145857e-06	-7.710646288390616e-07	7.316672006680336e-11
0.0015643027315711245	9.330922079478119e-06	-8.444911136512759e-07	8.777927209432824e-11
0.0016139590306313463	1.0219928981706548e-05	-9.248729907897757e-07	1.0530233844021785e-10
0.0016651915898275335	1.1193206548259027e-05	-1.0128643225390082e-06	1.2631376696786115e-10
0.001718050445027508	1.2258686997690435e-05	-1.1091800538492626e-06	1.515056872992016e-10
0.0017725872204080307	1.342504191469372e-05	-1.2146015986213445e-06	1.8170700745465677e-10
0.0018288551788731447	1.4701750221574038e-05	-1.3299829280657527e-06	2.1791031416649862e-10
0.0018869092740729592	1.6099172275770648e-05	-1.4562572048996967e-06	2.6130403301176454e-10
0.0019468062040736928	1.762863062960631e-05	-1.5944440107829707e-06	3.133108695786154e-10
0.002008604466731385	1.9302498033295782e-05	-1.7456572183105776e-06	3.7563374944922735e-10
0.0020723644168233577	2.113429331057564e-05	-1.911113563094395e-06	4.503107087884856e-10
0.0021381483249932214	2.3138785788360352e-05	-2.0921419759972675e-06	5.397804658073568e-10
0.0022060204385670056	2.5332109017828718e-05	-2.2901937404504626e-06	6.469607346599576e-10
0.002276047044299787	2.7731884584553287e-05	-2.5068535450100742e-06	7.753417373071139e-10
0.0023482965331141237	3.035735686996848e-05	-2.7438515069108088e-06	9.290978372225992e-10
0.002422839466893495	3.322953969590165e-05	-3.0030762483783496e-06	1.1132207753550775e-09
0.0024997486473960035	3.6371375858348095e-05	-3.28658911388636e-06	1.333678649832743e-09
0.0025790991873556254	3.980791063644121e-05	-3.596639623413506e-06	1.5976055658195975e-09
0.0026609685838404605	4.3566480447947806e-05	-3.935682264092253e-06	1.9135278135053086e-09
