r	P	Q	rho
9.625638570122096e-05	-2.6683266710775884e-07	-1.973334343448473e-06	3.965248103269056e-12
9.93118913769256e-05	-2.837863614608625e-07	-2.096073984437804e-06	4.474060847188167e-12
0.00010246438921440998	-3.0182798750209996e-07	-2.2264418655115635e-06	5.048143514542179e-12
0.00010571695807538968	-3.2102836673527273e-07	-2.3649114989053893e-06	5.695865609903652e-12
0.0001090727745551423	-3.4146302444469076e-07	-2.5119857337000465e-06	6.426669323375477e-12
0.00011253511608490396	-3.632125106249643e-07	-2.668198567454165e-06	7.251206923238947e-12
0.00011610736413274588	-3.8636274365555133e-07	-2.8341170715944565e-06	8.181495745188182e-12
0.00011979300750605833	-4.1100537806580963e-07	-3.010343431724338e-06	9.231092997724884e-12
0.0001235956457588662	-4.37238198752963e-07	-3.1975171154208697e-06	1.0415292945858135e-11
0.00012751899270730462	-4.65165542954501e-07	-3.3963171727659376e-06	1.1751349320376968e-11
0.00013156688005668771	-4.948987525261627e-07	-3.607464677977072e-06	1.325872617810417e-11
0.0001357432611437127	-5.265566585098613e-07	-3.831725320883871e-06	1.4959380849323675e-11
0.0001400522147974547	-5.602661005178078e-07	-4.069912157311583e-06	1.6878083071622056e-11
0.00014449794932292216	-5.961624835005502e-07	-4.322888528040127e-06	1.904277493259448e-11
0.00014908480661106436	-6.343903747161726e-07	-4.591571156578216e-06	2.1484976833453543e-11
0.00015381726637924429	-6.751041439270951e-07	-4.876933436603001e-06	2.424024535020389e-11
0.00015869995054631865	-7.184686500915533e-07	-5.180008920565434e-06	2.7348689618301853e-11
0.0001637376277465979	-7.646599780740769e-07	-5.501895021647749e-06	3.0855553711300534e-11
0.00016893521798709454	-8.138662291783483e-07	-5.843756941985813e-06	3.481187343600436e-11
0.00017429779745260863	-8.662883696077172e-07	-6.2068318408376e-06	3.9275217039753076e-11
0.00017983060346334285	-9.221411412854466e-07	-6.592433257191976e-06	4.431052053498204e-11
0.00018553903958988928	-9.816540398206442e-07	-7.001955802171875e-06	4.9991029709464584e-11
0.0001914286809305833	-1.0450723647889948e-06	-7.436880137495317e-06	5.639936242711803e-11
0.00019750527955637848	-1.1126583479124596e-06	-7.898778257219243e-06	6.362870655589876e-11
0.0002037747701285608	-1.1846923651716995e-06	-8.389319091007812e-06	7.178417081084425e-11
0.00021024327569478768	-1.2614742393721096e-06	-8.910274448241264e-06	8.098430799958061e-11
0.00021691711366911352	-1.3433246402122291e-06	-9.463525323417283e-06	9.13628326359615e-11
0.00022380280200184132	-1.4305865894754289e-06	-1.005106858449668e-05	1.0307055768024302e-10
0.0002309070655452268	-1.5236270795859534e-06	-1.0675024067113173e-05	1.1627757831109309e-10
0.00023823684262125092	-1.6228388144427936e-06	-1.1337642098906168e-05	1.3117573418055157e-10
0.0002457992917978769	-1.7286420821739435e-06	-1.2041311479649584e-05	1.4798138559820353e-10
0.00025360179888040774	-1.841486770244284e-06	-1.2788567944343116e-05	1.6693854359206503e-10
0.000261651984124774	-1.9618545342079367e-06	-1.3582103138008413e-05	1.883223988648902e-10
0.0002699577096797955	-2.0902611323262552e-06	-1.4424774132596205e-05	2.1244330037773043e-10
0.00027852708726568566	-2.227258939281919e-06	-1.531961351816558e-05	2.3965124072857276e-10
0.00028736848609629844	-2.3734396533148195e-06	-1.626984010234801e-05	2.7034091274389875e-10
0.00029649054105285346	-2.5294372122938664e-06	-1.7278870254061294e-05	3.049574098676212e-10
0.00030590216111712364	-2.6959309355287467e-06	-1.8350329929496987e-05	3.440026521305338e-10
0.00031561253807232064	-2.873648909525784e-06	-1.948806742057476e-05	3.880426298440861e-10
0.0003256311554801763	-3.063371637411891e-06	-2.069616686834317e-05	4.377155688312051e-10
0.00033596779794298724	-3.265935973400739e-06	-2.1978962586214688e-05	4.93741134148578e-10
0.00034663256065966766	-3.4822393654668548e-06	-2.3341054240458705e-05	5.569308040544422e-10
0.00035763585928514496	-3.7132444313388375e-06	-2.4787322938046047e-05	6.281995626418526e-10
0.000368988440102725	-3.9599838950355685e-06	-2.632294827474776e-05	7.085790783239872e-10
0.0003807013905193641	-4.223565913463769e-06	-2.7953426399346273e-05	7.992325564890423e-10
0.0003927861498940953	-4.5051798250873685e-06	-2.9684589152924846e-05	9.014714784343177e-10
0.0004052545207101872	-4.806102355386008e-06	-3.152262434546769e-05	1.0167744654759191e-09
0.00041811868010194415	-5.127704316760484e-06	-3.34740972354356e-05	1.1468085372875215e-09
0.0004313911917474072	-5.471457843737108e-06	-3.55459732815867e-05	1.2934530674710679e-09
0.0004450850181385686	-5.838944207793152e-06	-3.77456422400961e-05	1.458826777579048e-09
0.00045921353324108663	-6.231862259895596e-06	-4.008094368399896e-05	1.6453181538262074e-09
0.0004737905355558613	-6.652037552941387e-06	-4.2560194026145925e-05	1.8556197191489298e-09
0.000488830261595229	-7.101432200737795e-06	-4.519221513122491e-05	2.0927666477685895e-09
0.0005043473997869394	-7.582155534996704e-06	-4.79863646069759e-05	2.3601802707505107e-09
0.0005203571048194891	-8.096475627070577e-06	-5.0952567869514144e-05	2.661717090077193e-09
