r	P	Q	rho
9.625638570122096e-05	5.747839361424912e-13	-3.684046197405197e-14	3.31733792885917e-25
9.93118913769256e-05	6.506149415927393e-13	-4.1700398509436325e-14	4.250387254595695e-25
0.00010246438921440998	7.364490667348042e-13	-4.720135652325188e-14	5.4458519595219925e-25
0.00010571695807538968	8.33605649293114e-13	-5.342787045598412e-14	6.977529158748556e-25
0.0001090727745551423	9.435780031665673e-13	-6.047562004955586e-14	8.939967486801849e-25
0.00011253511608490396	1.068056321317883e-12	-6.845289723422654e-14	1.1454301046468484e-24
0.00011610736413274588	1.2089537227107721e-12	-7.748227433954314e-14	1.4675726064930628e-24
0.00011979300750605833	1.3684355539032054e-12	-8.770248062969997e-14	1.8803075902949755e-24
0.0001235956457588662	1.5489526581881905e-12	-9.927053297316723e-14	2.409108976025038e-24
0.00012751899270730462	1.7532790133585517e-12	-1.1236414609009874e-13	3.0866130000100934e-24
0.00013156688005668771	1.984554320481669e-12	-1.271844598198501e-13	3.954631737762126e-24
0.0001357432611437127	2.2463322067578946e-12	-1.4395912575091861e-13	5.066732613004761e-24
0.0001400522147974547	2.5426347788298e-12	-1.6294580036756266e-13	6.491542952372292e-24
0.00014449794932292216	2.8780143628146888e-12	-1.844360982106356e-13	8.316983346890801e-24
0.00014908480661106436	3.257623377645974e-12	-2.0876006561833873e-13	1.0655690835582535e-23
0.00015381726637924429	3.687293412504217e-12	-2.362912435506999e-13	1.365196626167573e-23
0.00015869995054631865	4.173624720084552e-12	-2.6745239701551307e-13	1.7490674088770202e-23
0.0001637376277465979	4.724087496877472e-12	-3.027219988060733e-13	2.24086432867152e-23
0.00016893521798709454	5.347136502005826e-12	-3.426415667913185e-13	2.870927201437631e-23
0.00017429779745260863	6.0523407702436154e-12	-3.8782396704411273e-13	3.6781236228566916e-23
0.00017983060346334285	6.85053040574158e-12	-4.389628098512896e-13	4.712245518842244e-23
0.00018553903958988928	7.753962704221846e-12	-4.968430823442893e-13	6.037079066693674e-23
0.0001914286809305833	8.776510146960452e-12	-5.623531803758088e-13	7.734337145917855e-23
