r	P	Q	rho
9.625638570122096e-05	1.5179080122177696e-11	1.6952689210469046e-10	2.896977162003085e-20
9.93118913769256e-05	1.6669435449473165e-11	1.8592291228683518e-10	3.484519939142236e-20
0.00010246438921440998	1.830682961244859e-11	2.039043045730432e-10	4.1912105433875587e-20
0.00010571695807538968	2.0105861232714e-11	2.236243111324043e-10	5.0412078185351514e-20
0.0001090727745551423	2.208259015535028e-11	2.452509797701942e-10	6.063568386620939e-20
0.00011253511608490396	2.4254685145191808e-11	2.6896859236391017e-10	7.293239342971566e-20
0.00011610736413274588	2.6641586990210895e-11	2.949792354997431e-10	8.772252353336986e-20
0.00011979300750605833	2.926468793177972e-11	3.2350451630331014e-10	1.0551159402838311e-19
0.0001235956457588662	3.21475297794526e-11	3.5478744765992625e-10	1.2690759668796569e-19
0.00012751899270730462	3.531602235200526e-11	3.8909451457292996e-10	1.5264176270551134e-19
0.00013156688005668771	3.879868441914621e-11	4.2671793957004974e-10	1.8359353786356512e-19
0.0001357432611437127	4.262690950556337e-11	4.679781666208131e-10	2.20820617847773e-19
0.0001400522147974547	4.6835259167243157e-11	5.132265845189464e-10	2.65595068558246e-19
0.00014449794932292216	5.146178662526789e-11	5.628485127916136e-10	3.194467638343959e-19
0.00014908480661106436	5.654839395521736e-11	6.172664754111723e-10	3.8421562252544587e-19
0.00015381726637924429	6.214122637212431e-11	6.769437900065766e-10	4.621144268434996e-19
0.00015869995054631865	6.829110753225964e-11	7.423885029337674e-10	5.558043646562229e-19
0.0001637376277465979	7.505402019580537e-11	8.141577034795793e-10	6.684858720826949e-19
0.00016893521798709454	8.249163706389847e-11	8.928622536679019e-10	8.040078742104067e-19
0.00017429779745260863	9.067190712478515e-11	9.791719736369501e-10	9.66999148697726e-19
0.00017983060346334285	9.966970342276828e-11	1.0738213263914523e-09	1.1630262907934806e-18
0.00018553903958988928	1.095675388067852e-10	1.1776156499353287e-09	1.398783664532783e-18
0.0001914286809305833	1.2045635693010182e-10	1.2914379893938979e-09	1.6823218143746256e-18
0.00019750527955637848	1.3243640656687426e-10	1.416256586778098e-09	2.0233221213766945e-18
0.0002037747701285608	1.456182081942809e-10	1.5531330915684398e-09	2.4334270626826526e-18
0.00021024327569478768	1.6012362277068386e-10	1.7032315613492631e-09	2.926637326145457e-18
0.00021691711366911352	1.7608703373214448e-10	1.867828328354473e-09	3.519789307652051e-18
0.00022380280200184132	1.9365665444420827e-10	2.0483228150491304e-09	4.2331292544613175e-18
0.0002309070655452268	2.1299597469728958e-10	2.2462493898271157e-09	5.091003606535938e-18
0.00023823684262125092	2.3428536133797533e-10	2.4632903626192542e-09	6.122689041110162e-18
0.0002457992917978769	2.577238298027219e-10	2.7012902297506806e-09	7.363390477794667e-18
0.00025360179888040774	2.835310051844094e-10	2.962271287839399e-09	8.855441013658573e-18
0.000261651984124774	3.119492935380366e-10	3.2484507479760476e-09	1.0649744623765022e-17
0.0002699577096797955	3.4324628644404045e-10	3.562259493961879e-09	1.2807510715479164e-17
0.00027852708726568566	3.777174244238332e-10	3.906362642110722e-09	1.5402339544391636e-17
0.00028736848609629844	4.1568894767286095e-10	4.283682075153951e-09	1.8522729422212634e-17
0.00029649054105285346	4.5752116577623493e-10	4.69742113924806e-09	2.2275090976587785e-17
0.00030590216111712364	5.036120816392053e-10	5.15109171110716e-09	2.6787370945009865e-17
0.00031561253807232064	5.544014088425181e-10	5.648543862014485e-09	3.221340868322808e-17
0.0003256311554801763	6.103750260691965e-10	6.1939983670687795e-09	3.873817344369968e-17
0.00033596779794298724	6.720699171984466e-10	6.7920823316690766e-09	4.658406037377437e-17
0.00034663256065966766	7.400796511846128e-10	7.447868233126887e-09	5.601845910811816e-17
0.00035763585928514496	8.150604620019939e-10	8.166916703628366e-09	6.736285200072292e-17
0.000368988440102725	8.97737995815626e-10	8.955323411779939e-09	8.100375091870495e-17
0.0003807013905193641	9.889148002186333e-10	9.81977043390999e-09	9.740584385678425e-17
0.0003927861498940953	1.089478638953472e-09	1.0767582543440311e-08	1.1712779753453642e-16
0.0004052545207101872	1.2004117251137954e-09	1.1806788887283312e-08	1.4084125213866737e-16
0.00041811868010194415	1.322800976524993e-09	1.2946190562691228e-08	1.6935365250901088e-16
0.0004313911917474072	1.4578494089584234e-09	1.4195434656638504e-08	2.0363568999009396e-16
0.0004450850181385686	1.606888796196709e-09	1.556509536304764e-08	2.4485428526410964e-16
0.00045921353324108663	1.7713937409031951e-09	1.7066762851397573e-08	2.944122300111552e-16
0.0004737905355558613	1.9529973169459477e-09	1.8713140623945825e-08	3.5399583053156963e-16
0.000488830261595229	2.1535084624966434e-09	2.051815216845826e-08	4.2563216710605305e-16
0.0005043473997869394	2.374931324103892e-09	2.249705778952553e-08	5.117579079794612e-16
0.0005203571048194891	2.6194867752944927e-09	2.466658258485641e-08	6.153020073814843e-16
0.0005368750124428274	2.8896363593822502e-09	2.7045056624032856e-08	7.397850860866073e-16
0.0005539172547388857	3.188108935396224e-09	2.965256848680665e-08	8.89438856448712e-16
0.0005715004758768466	3.517930338752991e-09	3.2511133426895194e-08	1.0693496305697007e-15
0.0005896418483685365	3.882456404910585e-09	3.564487754624668e-08	1.2856307630229519e-15
0.0006083590898398229	4.2854097452264895e-09	3.9080239494821166e-08	1.5456298556570624e-15
0.0006276704803343917	4.7309207101268586e-09	4.284619135308672e-08	1.8581777242308304e-15
0.0006475948801668037	5.223573026072085e-09	4.697448050976107e-08	2.2338875343206308e-15
0.0006681517483422711	5.768454650340316e-09	5.14998945170402e-08	2.6855142043193e-15
0.0006893611615611377	6.3712144520920905e-09	5.6460551090953575e-08	3.228386203088726e-15
0.0007112438338266278	7.038125400363671e-09	6.189821562699489e-08	3.8809243069571986e-15
0.0007338211366750103	7.776155020503964e-09	6.785864882234626e-08	4.665264806897424e-15
0.00075711512004794	8.593043971175089e-09	7.439198723752785e-08	5.6080081698390555e-15
0.0007811485338273538	9.497393695563331e-09	8.155315989399812e-08	6.741118375704549e-15
0.0008059448500539623	1.0498764214224158e-08	8.940234429209379e-08	8.10300321494795e-15
