r	P	Q	rho
9.625638570122096e-05	2.566703515328737e-05	-3.333823748684935e-06	6.699110743473852e-10
9.93118913769256e-05	2.7262892568560943e-05	-3.541131678237919e-06	7.558049247675157e-10
0.00010246438921440998	2.8957873658634353e-05	-3.761318665308621e-06	8.527059649314283e-10
0.00010571695807538968	3.0758125769928244e-05	-3.995183671295103e-06	9.620237934461069e-10
0.0001090727745551423	3.267017657344533e-05	-4.2435751110511484e-06	1.0853483670632288e-09
0.00011253511608490396	3.4700957498918914e-05	-4.507393902466341e-06	1.2244730511337674e-09
0.00011610736413274588	3.685782863600596e-05	-4.7875967069595615e-06	1.381420613989671e-09
0.00011979300750605833	3.914860511542759e-05	-5.085199361445199e-06	1.5584725350293262e-09
0.0001235956457588662	4.158158513311237e-05	-5.401280527990101e-06	1.7582020535243163e-09
0.00012751899270730462	4.416557968352024e-05	-5.736985562233473e-06	1.9835114321226516e-09
0.00013156688005668771	4.690994410942693e-05	-6.093530621103947e-06	2.23767397177989e-09
0.0001357432611437127	4.982461158005098e-05	-6.47220702073839e-06	2.524381382822246e-09
0.0001400522147974547	5.29201286133791e-05	-6.874385861294324e-06	2.8477971934265483e-09
0.00014449794932292216	5.620769276622388e-05	-7.301522934296387e-06	3.2126169632622727e-09
0.00014908480661106436	5.969919262277254e-05	-7.755163929723546e-06	3.6241361673877847e-09
0.00015381726637924429	6.340725022009158e-05	-8.236949960912915e-06	4.088326725131887e-09
0.00015869995054631865	6.734526605724866e-05	-8.748623426460742e-06	4.611923272179626e-09
0.0001637376277465979	7.152746684335637e-05	-9.292034229429167e-06	5.2025204131483275e-09
0.00016893521798709454	7.59689561489814e-05	-9.869146375369335e-06	5.868682348544325e-09
0.00017429779745260863	8.06857681350211e-05	-1.0482044971940082e-05	6.620066446332161e-09
0.00017983060346334285	8.569492454335219e-05	-1.1132943654242754e-05	7.46756252689937e-09
0.00018553903958988928	9.101449514433694e-05	-1.1824192461410237e-05	8.423449853743003e-09
0.0001914286809305833	9.666366184765378e-05	-1.2558286191486006e-05	9.501574073864826e-09
0.00019750527955637848	0.00010266278669494252	-1.3337873263211334e-05	1.0717546635156754e-08
0.0002037747701285608	0.00010903348396544192	-1.4165765115009888e-05	1.2088969526935913e-08
0.00021024327569478768	0.00011579869663919248	-1.5044946173223884e-05	1.3635688548690932e-08
0.00021691711366911352	0.00012298277747650957	-1.5978584423519092e-05	1.5380078716016198e-08
0.00022380280200184132	0.00013061157498734185	-1.697004262134265e-05	1.7347365867244212e-08
0.0002309070655452268	0.000138712524579854	-1.802289017939325e-05	1.9565989045735075e-08
0.00023823684262125092	0.0001473147451941536	-1.9140915772252575e-05	2.2068008808218866e-08
0.0002457992917978769	0.0001564491417445578	-2.0328140700637043e-05	2.4889567256953633e-08
0.00025360179888040774	0.00016614851371221355	-2.158883306016356e-05	2.8071406321677227e-08
0.000261651984124774	0.00017644767024928653	-2.2927522762091376e-05	3.1659451636407174e-08
0.0002699577096797955	0.00018738355217636665	-2.434901745620734e-05	3.570547027731581e-08
0.00027852708726568566	0.0001989953612762513	-2.5858419408873214e-05	4.026781166379097e-08
0.00028736848609629844	0.00021132469730990625	-2.746114339225637e-05	4.541224208953357e-08
0.00029649054105285346	0.00022441570320422177	-2.916293564392703e-05	5.1212884660017184e-08
0.00030590216111712364	0.00023831521888623372	-3.0969893959333243e-05	5.7753277884645836e-08
0.00031561253807232064	0.00025307294426480764	-3.288848898316659e-05	6.51275678264543e-08
0.0003256311554801763	0.0002687416118884576	-3.4925586769314874e-05	7.344185057158734e-08
0.00033596779794298724	0.0002853771698370344	-3.7088472682970715e-05	8.281568387015106e-08
0.00034663256065966766	0.0003030389754355311	-3.938487672253497e-05	9.33837891474657e-08
0.00035763585928514496	0.00032179000041027427	-4.182300034322997e-05	1.0529796772175413e-07
0.000368988440102725	0.0003416970481413541	-4.44115448688275e-05	1.1872925802615074e-07
