r	P	Q	rho
9.625638570122096e-05	5.929297925411618e-10	-5.084287224730459e-11	3.5415073654126093e-19
9.93118913769256e-05	6.502690287116903e-10	-5.575935174493199e-11	4.2595891500866015e-19
0.00010246438921440998	7.131516490500192e-10	-6.115110517163116e-11	5.123247322064738e-19
0.00010571695807538968	7.821133603763964e-10	-6.706405770286336e-11	6.161988963148319e-19
0.0001090727745551423	8.577416119291655e-10	-7.354856966653769e-11	7.411300649348367e-19
0.00011253511608490396	9.406805853945638e-10	-8.065986419027613e-11	8.91385977429453e-19
0.00011610736413274588	1.0316366814785976e-09	-8.845849738794829e-11	1.072099148332307e-18
0.00011979300750605833	1.131384513291688e-09	-9.7010871928446e-11	1.2894420261885872e-18
0.0001235956457588662	1.2407734911238964e-09	-1.0638980136367584e-10	1.550837646109984e-18
0.00012751899270730462	1.3607350395055214e-09	-1.1667512852307362e-10	1.8652129333539686e-18
0.00013156688005668771	1.4922905090357883e-09	-1.2795440348794583e-10	2.243303292730248e-18
0.0001357432611437127	1.636559850856655e-09	-1.4032362686818163e-10	2.6980188656933977e-18
0.0001400522147974547	1.794771126840088e-09	-1.5388806467469335e-10	3.244884934188162e-18
0.00014449794932292216	1.9682709358989853e-09	-1.6876314166057966e-10	3.902571475087816e-18
0.00014908480661106436	2.1585358445414767e-09	-1.85075420678474e-10	4.6935299035097e-18
0.00015381726637924429	2.3671849182192357e-09	-2.0296367631932255e-10	5.644758690949664e-18
0.00015869995054631865	2.595993459288383e-09	-2.225800718915998e-10	6.788723929071336e-18
0.0001637376277465979	2.8469080675484864e-09	-2.4409144966783795e-10	8.164466180873604e-18
0.00016893521798709454	3.1220631504414845e-09	-2.676807452763278e-10	9.818931296736298e-18
0.00017429779745260863	3.4237990221711087e-09	-2.9354853815756597e-10	1.1808570488474285e-17
0.00017983060346334285	3.7546817443449275e-09	-3.2191475114611653e-10	1.420126410832253e-17
0.00018553903958988928	4.117524875356031e-09	-3.530205134884481e-10	1.7078634582119348e-17
0.0001914286809305833	4.515413311730527e-09	-3.871302029763097e-10	2.0538827169809722e-17
0.00019750527955637848	4.951729422202742e-09	-4.2453368437462045e-10	2.469985311987699e-17
0.0002037747701285608	5.430181694487152e-09	-4.6554876296500525e-10	2.97036088858416e-17
0.00021024327569478768	5.954836135752759e-09	-5.105238738245176e-10	3.572070802941164e-17
0.00021691711366911352	6.5301506908454305e-09	-5.598410294285369e-10	4.295629002338066e-17
0.00022380280200184132	7.161012967536041e-09	-6.139190503234492e-10	5.165700332156938e-17
0.0002309070655452268	7.852781585704321e-09	-6.732171059762063e-10	6.211939990455586e-17
0.00023823684262125092	8.611331497627135e-09	-7.382385954935201e-10	7.470002638590144e-17
0.0002457992917978769	9.443103659673245e-09	-8.0953540073441e-10	8.982755429237645e-17
0.00025360179888040774	1.0355159471985726e-08	-8.877125474391872e-10	1.0801736125713666e-16
0.000261651984124774	1.1355240442454638e-08	-9.734333133909799e-10	1.2988905792157673e-16
0.0002699577096797955	1.2451833574770437e-08	-1.0674248263401555e-09	1.5618755513366763e-16
0.00027852708726568566	1.3654243027957284e-08	-1.1704841984876719e-09	1.8780838592542943e-16
0.00028736848609629844	1.497266864690236e-08	-1.2834852487734155e-09	2.258281407937519e-16
0.00029649054105285346	1.6418292020445644e-08	-1.4073858690860134e-09	2.715410478531321e-16
0.00030590216111712364	1.8003370786037424e-08	-1.543236095840728e-09	3.265029373070515e-16
0.00031561253807232064	1.9741341968312962e-08	-1.6921869542048998e-09	3.9258407939785593e-16
0.0003256311554801763	2.1646935213728278e-08	-1.855500148632879e-09	4.72032684948926e-16
0.00033596779794298724	2.37362968652507e-08	-2.03455868035579e-09	5.675512178991213e-16
0.00034663256065966766	2.6027125910661796e-08	-2.2308784801117375e-09	6.823881019624683e-16
0.00035763585928514496	2.853882293602861e-08	-2.4461211527603267e-09	8.204479232679741e-16
0.000368988440102725	3.129265332311684e-08	-2.6821079395683406e-09	9.864238550002706e-16
0.0003807013905193641	3.431192604681553e-08	-2.9408350139538446e-09	1.185956779621435e-15
0.0003927861498940953	3.762218955695293e-08	-3.2244902374133824e-09	1.4258264843504722e-15
0.0004052545207101872	4.125144636922981e-08	-3.5354715143179104e-09	1.7141813863819965e-15
0.00041811868010194415	4.5230388143495335e-08	-3.876406897342212e-09	2.0608145420450056e-15
0.0004313911917474072	4.959265319545808e-08	-4.2501766095929294e-09	2.477495252177709e-15
0.0004450850181385686	5.437510857148926e-08	-4.6599371651343395e-09	2.9783674465442453e-15
0.00045921353324108663	5.961815901688381e-08	-5.109147786701273e-09	3.580428275668799e-15
0.0004737905355558613	6.536608538737721e-08	-5.601599338068655e-09	4.304103034014139e-15
0.000488830261595229	7.166741529359301e-08	-6.14144600896255e-09	5.173935773945332e-15
0.0005043473997869394	7.857532903029384e-08	-6.7332400127070785e-09	6.219418853287658e-15
0.0005203571048194891	8.61481041288723e-08	-7.381969581177639e-09	7.475989319896457e-15
0.0005368750124428274	9.444960218467529e-08	-8.09310056826185e-09	8.986225629651419e-15
0.0005539172547388857	1.0354980195293266e-07	-8.872622002120088e-09	1.0801284905684083e-14
0.0005715004758768466	1.1352538308089996e-07	-9.727095958310578e-09	1.2982628999447269e-14
0.0005896418483685365	1.2446036525220477e-07	-1.0663712160541746e-08	1.5604097275755103e-14
0.0006083590898398229	1.3644680796543613e-07	-1.1690347753701372e-08	1.8754395634559074e-14
0.0006276704803343917	1.4958557665614377e-07	-1.281563273517425e-08	2.2540085185953935e-14
0.0006475948801668037	1.6398718140332937e-07	-1.4049021575609628e-08	2.7089170671840397e-14
0.0006681517483422711	1.7977269504223937e-07	-1.5400871609575835e-08	3.255540872908463e-14
0.0006893611615611377	1.970747581391997e-07	-1.6882528830309716e-08	3.9123480075330297e-14
0.0007112438338266278	2.1603867897612097e-07	-1.8506421781433275e-08	4.701519846089976e-14
0.0007338211366750103	2.3682363744733243e-07	-2.028616430250289e-08	5.64969637158937e-14
0.00075711512004794	2.596040025951857e-07	-2.223666795504886e-08	6.788870756518427e-14
0.0007811485338273538	2.8457077440951694e-07	-2.4374265031865663e-08	8.157463044387581e-14
0.0008059448500539623	3.119331614961812e-07	-2.6716843135280515e-08	9.801608694811784e-14
0.0008315282858510282	3.419203072886701e-07	-2.92839924005597e-08	1.1776704874729461e-13
0.0008579238270758277	3.7478317864207836e-07	-3.2097166539159704e-08	1.414926590929026e-13
0.0008851572527218854	4.1079663191884494e-07	-3.5179858983897566e-08	1.699914952739939e-13
0.0009132551600958224	4.502616730599094e-07	-3.855779553506488e-08	2.0422227782323262e-13
0.0009422449907934024	4.935079296431077e-07	-4.2259145033867214e-08	2.4533591195962e-13
