r	P	Q	rho
0.00016844867497713668	-2.3263980973621863e-05	1.7067821505817055e-06	5.441259160505844e-10
0.0001737958099096198	-2.4745165235664565e-05	1.8154501640350548e-06	6.156190618384371e-10
0.00017931268112521747	-2.6320565030440065e-05	1.9310303245544484e-06	6.965010216359732e-10
0.00018500467663193191	-2.7996164533475133e-05	2.0539616593518e-06	7.880039870834981e-10
0.00019087735547149905	-2.9778327160987614e-05	2.184711018186298e-06	8.915217307397972e-10
0.00019693645314858196	-3.167381951255323e-05	2.32377483014266e-06	1.0086307719750023e-09
0.00020318788723230528	-3.3689836851059405e-05	2.4716809729360485e-06	1.1411143138829744e-09
0.0002096377631356021	-3.5834030134166886e-05	2.628990754106808e-06	1.2909893080415595e-09
0.00021629238007801584	-3.811453477241776e-05	2.796301023922364e-06	1.460537060334232e-09
0.00022315823723778312	-4.0540001185402994e-05	2.974246414659008e-06	1.6523378378475882e-09
0.00023024204009920347	-4.311962727200358e-05	3.1635017238388763e-06	1.869309999233246e-09
0.0002375507070014972	-4.586319291554645e-05	3.364784445146469e-06	2.1147542387709298e-09
0.00024509137589554566	-4.8781096649438127e-05	3.5788574583926457e-06	2.392403611029316e-09
0.0002528714113151138	-5.188439461728602e-05	3.8065318876626953e-06	2.706480089814051e-09
0.0002608984115693626	-5.518484196959912e-05	4.048670138236099e-06	3.0617585130978735e-09
0.0002691802161636775	-5.869493684777838e-05	4.306189123300185e-06	3.4636388763303214e-09
0.0002777249134560577	-6.242796711528327e-05	4.580063692193644e-06	3.91822806157144e-09
0.0002865408485565463	-6.639806000556002e-05	4.87133027261781e-06	4.432432231126872e-09
0.00029563663147741544	-7.062023486658934e-05	5.181090740009384e-06	5.014061273868451e-09
0.0003050211455420651	-7.511045919278718e-05	5.510516528065444e-06	5.67194687255743e-09
0.00031470355606085	-7.98857081465039e-05	5.8608529952560605e-06	6.4160759639004025e-09
0.00032469331928230624	-8.496402778355038e-05	6.233424063053426e-06	7.257741592753775e-09
0.0003350001916285207	-9.036460221007139e-05	6.629637142551916e-06	8.209713421226343e-09
0.0003456342392236623	-9.61078249117252e-05	7.050988367153856e-06	9.286430446216566e-09
0.0003566058477249814	-0.00010221537451055393	7.4990681500537855e-06	1.0504218809451948e-08
0.0003679257324658784	-0.00010871029522018496	7.97556708637299e-06	1.1881537957209006e-08
0.0003796049489209486	-0.00011561708228613388	8.482282220978967e-06	1.3439258828034988e-08
0.0003916549035032224	-0.00012296177271502865	9.021123704275085e-06	1.5200978222110198e-08
0.0004040873647041469	-0.000130772041614594	9.5941218595672e-06	1.7193374042305326e-08
0.0004169144745871892	-0.00013907730448527335	1.020343468701026e-05	1.944660670230152e-08
0.00043014876064628455	-0.00014790882582447552	1.0851355830612822e-05	2.199477268013761e-08
0.0004438031480407135	-0.00015729983442566952	1.1540323036335e-05	2.4876416966126012e-08
0.00045789097221835446	-0.00016728564577697333	1.2272927130959584e-05	2.813511202338084e-08
0.0004724259919396421	-0.0001779037919875452	1.305192155315168e-05	3.1820111859777374e-08
0.0004874224027149498	-0.00018919415969505552	1.3880232469953426e-05	3.598709091613812e-08
0.0005028948506685222	-0.00020119913643385607	1.4760969513891863e-05	4.069897872271948e-08
0.0005188584468424935	-0.00021396376597123564	1.5697437177914938e-05	4.602690268254828e-08
0.0005353287819549664	-0.00022753591314842735	1.6693146907517666e-05	5.205125292596465e-08
0.000552321941626561	-0.00024196643879388665	1.7751829931683032e-05	5.8862884968519096e-08
0.0005698545220903085	-0.000257309385308852	1.8877450876645453e-05	6.656447791961942e-08
0.0005879436464002277	-0.0002736221735594264	2.0074222208994384e-05	7.527206826068094e-08
0.0006066069811544184	-0.00029096581174543104	2.134661955727696e-05	8.511678177120073e-08
0.0006258627537490037	-0.0003094051169541847	2.269939796403802e-05	9.624678906536248e-08
