r	P	Q	rho
0.00016844867497713668	-1.439769258693158e-09	7.018384662546618e-11	2.0778612906049923e-18
0.0001737958099096198	-1.5804618928597392e-09	7.704122394594809e-11	2.5037951449688794e-18
0.00017931268112521747	-1.734898949792372e-09	8.456838562295382e-11	3.017026177837548e-18
0.00018500467663193191	-1.9044226203011674e-09	9.283072243898508e-11	3.635443059743308e-18
0.00019087735547149905	-2.090506096229948e-09	1.0190000535167504e-10	4.380599349465247e-18
0.00019693645314858196	-2.2947663369977337e-09	1.1185500700326404e-10	5.278464084009696e-18
0.00020318788723230528	-2.518978120272806e-09	1.2278218569351536e-10	6.360326235536797e-18
0.0002096377631356021	-2.765089403821424e-09	1.3477643299569478e-10	7.663884098016562e-18
0.00021629238007801584	-3.035238219394878e-09	1.4794189624800107e-10	9.234557853140843e-18
0.00022315823723778312	-3.3317712059433596e-09	1.6239288040751702e-10	1.112707081636032e-17
0.00023024204009920347	-3.657263945805706e-09	1.782548378266395e-10	1.3407354356498924e-17
0.0002375507070014972	-4.0145432818984384e-09	1.95665454267028e-10	1.6154842732229407e-17
0.00024509137589554566	-4.406711807719212e-09	2.1477584060755435e-10	1.946523761800061e-17
0.0002528714113151138	-4.837174741447347e-09	2.3575184046587103e-10	2.3453838409579254e-17
0.0002608984115693626	-5.30966941590118e-09	2.5877546500161525e-10	2.8259554047443174e-17
0.0002691802161636775	-5.8282976385231534e-09	2.840464672428374e-10	3.40497357587677e-17
0.0002777249134560577	-6.397561200223041e-09	3.1178406947615564e-10	4.1025998616578393e-17
0.0002865408485565463	-7.022400838933744e-09	3.42228858550629e-10	4.9431234134282216e-17
0.00029563663147741544	-7.708238993367756e-09	3.7564486538205174e-10	5.955805744376306e-17
0.0003050211455420651	-8.461026714959271e-09	4.1232184651933855e-10	7.175898237637158e-17
0.00031470355606085	-9.287295141610082e-09	4.52577787361354e-10	8.645867770098712e-17
0.00032469331928230624	-1.0194211975928756e-08	4.967616485054269e-10	1.041687299455951e-16
0.0003350001916285207	-1.1189643453491907e-08	5.452563787837844e-10	1.255054251348787e-16
0.0003456342392236623	-1.2282222333625638e-08	5.984822208186708e-10	1.5121116642124847e-16
0.0003566058477249814	-1.3481422496699838e-08	6.569003374200388e-10	1.8218027058782706e-16
0.0003679257324658784	-1.4797640788382246e-08	7.210167898822851e-10	2.194900381132861e-16
0.0003796049489209486	-1.6242286813187472e-08	7.913869022314043e-10	2.6443817415086706e-16
0.0003916549035032224	-1.7827881447498896e-08	8.686200487561563e-10	3.1858785769517647e-16
0.0004040873647041469	-1.9568164916607684e-08	9.533849057537405e-10	3.8382202098207486e-16
0.0004169144745871892	-2.1478215361826665e-08	1.0464152123620082e-09	4.624087199256696e-16
0.00043014876064628455	-2.3574578913079708e-08	1.1485160896691863e-09	5.570798601372514e-16
