r	P	Q	rho
0.00016844867497713668	-1.3980830091734242e-08	-1.6918588925425077e-07	2.8819328732805546e-14
0.0001737958099096198	-1.492426949661088e-08	-1.799616100488753e-07	3.2608914911390927e-14
0.00017931268112521747	-1.5932919696371192e-08	-1.9142313584490893e-07	3.689667486674947e-14
0.00018500467663193191	-1.701143016284169e-08	-2.036140632149185e-07	4.1748075495074064e-14
0.00019087735547149905	-1.8164794594467285e-08	-2.165807552418436e-07	4.723718330378655e-14
0.00019693645314858196	-1.9398377509182825e-08	-2.3037251653273466e-07	5.344779342361387e-14
0.00020318788723230528	-2.0717942964506298e-08	-2.4504177950042704e-07	6.047470686141644e-14
0.0002096377631356021	-2.2129685614532487e-08	-2.6064430203232465e-07	6.842517516731573e-14
0.00021629238007801584	-2.3640264305736837e-08	-2.772393778227868e-07	7.742053471201103e-14
0.00022315823723778312	-2.525683837415682e-08	-2.948900599036176e-07	8.759805531461747e-14
0.00023024204009920347	-2.698710693278665e-08	-3.136633982269049e-07	9.911303132785159e-14
0.0002375507070014972	-2.883935136632613e-08	-3.3363069219267244e-07	1.1214114696019216e-13
0.00024509137589554566	-3.082248132233137e-08	-3.548677590488065e-07	1.2688115176718723e-13
0.0002528714113151138	-3.294608449223046e-08	-3.774552191538169e-07	1.4355788694982514e-13
0.0002608984115693626	-3.5220480508035063e-08	-4.014787991532538e-07	1.6242570841675556e-13
0.0002691802161636775	-3.765677930783417e-08	-4.2702965418501486e-07	1.837723585812123e-13
0.0002777249134560577	-4.026694435473507e-08	-4.542047102973915e-07	2.0792334566400465e-13
0.0002865408485565463	-4.3063861127958905e-08	-4.83107028336302e-07	2.352468969631806e-13
0.00029563663147741544	-4.606141134201916e-08	-5.138461906351304e-07	2.6615956124505346e-13
0.0003050211455420651	-4.927455339048889e-08	-5.465387119221725e-07	3.0113254524137964e-13
0.00031470355606085	-5.271940955513252e-08	-5.813084759471359e-07	3.4069888035182374e-13
0.00032469331928230624	-5.641336056947443e-08	-6.182871994197309e-07	3.8546152821703564e-13
0.0003350001916285207	-6.037514817857161e-08	-6.576149249504351e-07	4.361025480351509e-13
0.0003456342392236623	-6.462498639425567e-08	-6.994405447862893e-07	4.933934645573989e-13
0.0003566058477249814	-6.91846822078551e-08	-7.439223572434503e-07	5.582069938588536e-13
0.0003679257324658784	-7.40777665908835e-08	-7.912286578534969e-07	6.315303045117395e-13
0.0003796049489209486	-7.932963668891434e-08	-8.415383673625392e-07	7.144800150004031e-13
0.0003916549035032224	-8.496771019543287e-08	-8.950416988513838e-07	8.083191544586262e-13
0.0004040873647041469	-9.102159298149523e-08	-9.51940866381755e-07	9.14476343476535e-13
0.0004169144745871892	-9.752326115421881e-08	-1.0124508377182872e-06	1.0345674852626155e-12
0.00043014876064628455	-1.0450725882323367e-07	-1.076800133829118e-06	1.1704202953611527e-12
0.0004438031480407135	-1.1201091297006269e-07	-1.1452316780298685e-06	1.3241020409874954e-12
0.00045789097221835446	-1.2007456694186557e-07	-1.2180036978071157e-06	1.497950909498084e-12
0.0004724259919396421	-1.2874183422906424e-07	-1.2953906825385753e-06	1.69461148028842e-12
0.0004874224027149498	-1.3805987433713232e-07	-1.3776844005187235e-06	1.9170748363346192e-12
0.0005028948506685222	-1.4807969272745342e-07	-1.4651949789009751e-06	2.168723921594886e-12
0.0005188584468424935	-1.5885646698190682e-07	-1.5582520503814072e-06	2.453384829619833e-12
0.0005353287819549664	-1.7044990154212785e-07	-1.657205970674982e-06	2.77538479817653e-12
0.000552321941626561	-1.8292461358872843e-07	-1.7624291110738446e-06	3.139617785817128e-12
0.0005698545220903085	-1.9635055285982603e-07	-1.8743172306292725e-06	3.551618620642145e-12
0.0005879436464002277	-2.1080345846382805e-07	-1.993290932764856e-06	4.0176468407429e-12
0.0006066069811544184	-2.2636535602053726e-07	-2.119797211409207e-06	4.544781491904554e-12
0.0006258627537490037	-2.431250987694523e-07	-2.2543110920326656e-06	5.141028313313164e-12
0.0006457297701797689	-2.6117895661699557e-07	-2.3973373732848333e-06	5.815440928727766e-12
0.0006662274334088872	-2.806312574578905e-07	-2.5494124752591135e-06	6.578257871669197e-12
0.0006873757623146667	-3.015950855028426e-07	-2.7111064007575804e-06	7.441057511828189e-12
0.0007091954112428275	-3.241930417781339e-07	-2.883024816295216e-06	8.416933219711422e-12
0.0007317076901784022	-3.4855807243605525e-07	-3.0658112599678544e-06	9.520691411606022e-12
